127.0.0.1 - - [31/Jan/2023:11:32:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:27:44 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=tomato&mem_pw=&mem_name=&mem_birth=&mem_img=&mem_zipcode=&mem_address= HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:28:12 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=kiwi&mem_pw=&mem_name=&mem_birth=&mem_img=&mem_zipcode=&mem_address= HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:29:25 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=kiwi&mem_pw=gg&mem_name=&mem_birth=&mem_img=&mem_zipcode=&mem_address= HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:32:02 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C&mem_name=&mem_birth=&mem_img=&mem_zipcode=&mem_address= HTTP/1.1" 200 83
192.168.10.72 - - [31/Jan/2023:14:37:30 +0900] "GET /member/joinAction.jsp?mem_id=apple&mem_pw=123 HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:40:01 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:21 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:21 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:52 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:52 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:53 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:53 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:53 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:53 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:53 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:53 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:53 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:42:53 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:43:10 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:43:11 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:44:19 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:44:19 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=nice&mem_pw=%EC%95%88%EC%95%8C%EB%9E%B4%EC%A4%8C HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:48:04 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:48:04 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=kiwi&mem_pw=123 HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:48:37 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:48:37 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=kiwi&mem_pw=12345 HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:49:48 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:49:48 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=kiwi&mem_pw=12345 HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:04:19 +0900] "GET /chat221228/member/joinResult3.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:04:27 +0900] "GET /chat221228/member/joinResult3.html HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:04:36 +0900] "GET /chat221228/member/joinResult3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:04:46 +0900] "GET /chat221228/member/joinResult3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:05:41 +0900] "GET /chat221228/member/joinResult.html HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:06:02 +0900] "GET /chat221228/member/joinAction.jsp?mem_id=%E3%84%B4%E3%85%81%E3%85%87%E3%84%B9&mem_pw=%E3%85%82%E3%85%88%E3%84%B7%E3%85%82%E3%85%88%E3%84%B7 HTTP/1.1" 200 97
